mood,stress,sleep,work_hours,had_meeting_today,meeting_count_last_7d,screen_time_last_7d,mean_mood_last_7d,mean_stress_last_7d,mean_sleep_last_7d,mean_work_hours_last_7d,burnout_level
4,4,7,9,0,11,2326,2.0906025892499387,1.3582640972652427,8.83136354929782,2.3413058402905205,1
5,4,10,11,1,10,1470,3.9262484782445357,3.8614564609155586,4.396748065760689,10.711335936529764,0
3,4,11,9,1,13,2987,2.4884808609667948,2.0845690135223522,4.7574479240383605,5.503798776972911,0
5,4,6,0,1,6,1090,3.0875373126317727,4.04131288561655,4.262853581923171,8.123721027732342,0
5,5,5,1,1,6,1529,1.2718931992776148,3.8896455378541783,7.993358666101294,5.966890174567721,0
2,5,4,8,1,14,1660,1.7249022441988382,1.029567605777172,8.80485303349746,1.1278911529992244,1
3,2,9,7,0,5,1738,4.828787854076938,3.0365416516863966,4.499838090862567,3.488667691447981,0
3,1,8,2,0,14,3773,4.5605522137876555,1.5572779295121855,9.769795739991332,11.804782247964072,0
3,4,8,7,0,2,1871,3.609100443596201,4.464908122314707,5.843160572116515,11.528577020037808,0
5,2,4,11,1,5,2686,2.8385783895429495,4.486343531449626,9.481611630158929,3.8458427718665673,1
4,1,9,0,1,14,1191,3.703045171580895,2.673383229975032,11.855177120281965,11.955561650942709,0
3,3,4,9,1,13,2986,3.474441156375756,2.777582473804322,9.528846960430808,10.146614345962796,1
5,5,5,3,1,11,3185,3.2742090224184484,2.2131317576181084,11.065544423388868,7.331513993187056,0
2,1,11,2,0,7,1344,1.2367082874541673,3.866425195840124,11.585588053944539,0.4814954431321139,0
4,3,6,5,0,7,2008,3.5312104426460276,2.4346454521058365,7.894008386818524,10.817361954460555,0
2,1,10,6,1,10,3550,4.075680178284673,2.071169898090535,9.618599835357655,6.689151351171837,0
4,5,8,3,1,12,1202,4.976326618582302,2.728924238018033,10.815754028446733,10.421713814433234,0
5,5,5,6,1,8,1572,1.0443142103772387,1.3659500735498349,6.852871302995089,10.013149438868908,1
1,2,6,8,0,14,1191,3.9206938132427065,3.9864128185768153,6.091178532483159,9.996074582413033,0
4,4,5,10,0,0,3052,3.287157263743922,1.0503856050871478,11.57278858222671,8.37808632857886,1
2,1,9,1,0,13,2913,2.736208704323827,3.5779402460823757,9.810428002950545,3.4969816641125835,0
5,1,8,10,1,0,2716,1.5102806982854835,1.7314581070194897,5.7574570670066105,4.033923092934238,0
4,3,10,2,1,2,1310,2.636340594539505,1.9296161848576525,7.592667141408907,3.701630550992236,0
1,5,4,4,0,2,3596,2.417508731944541,3.5425279945601598,10.371614156302474,0.24055199439077635,1
1,1,4,2,1,9,3103,2.2113195559149688,4.971773863131629,8.376503927347537,6.990826910577734,0
3,5,6,10,0,7,1442,3.9235184932888307,4.110869956290203,9.199616785327112,8.386004045352394,1
3,1,10,7,1,14,2260,3.802902085137055,1.903358528893568,10.030145616360418,10.246391922302443,0
2,2,11,11,0,9,1869,3.3560803639236463,1.7040990201645352,8.976073510471846,1.6819852005927642,0
4,4,7,9,1,0,1584,4.7546592531734895,4.464931481070682,8.320634575377566,6.530197787721621,1
4,1,9,7,0,12,2594,2.399417536723418,2.776735791686017,9.996914275102188,0.09609768808539432,0
3,5,6,7,0,1,3799,1.9752077508407182,1.5482112113126218,9.820504283457606,1.1411237725287537,1
4,2,7,11,0,1,2537,3.623613252393598,4.448845693287753,9.03897920146543,0.6505409304719167,0
4,1,5,11,0,2,1359,1.7952562437496118,4.264369411657046,6.878315307055437,8.705736408185842,1
1,3,9,8,0,12,2723,2.2600420287336984,4.935625455588655,7.246496737602173,0.9727147665312379,0
3,4,5,3,0,5,3866,1.8984097602995393,4.638974746850735,11.76350839107278,8.59743577870548,0
5,1,11,4,1,0,3077,1.276614270874005,4.407161354642167,4.899087458332207,2.9954964529270005,0
3,2,10,4,1,1,2802,4.3099949665426935,1.2102975912440126,6.1480393380226825,10.532555528363273,0
5,3,8,7,1,12,3011,2.0181621716866447,1.417661477992472,7.939214073634686,9.75779986036577,0
1,2,9,6,0,14,3155,2.8921100133720827,3.2759327772164912,10.693837489150287,11.493962609703319,0
2,2,7,8,0,12,1843,1.1732610930172478,3.1259169851272834,5.309405309837823,10.605144185496382,0
4,3,11,7,1,0,2625,3.7973578650105724,2.831852857958142,6.215636944996879,11.199953029396166,0
1,2,8,1,0,4,3764,2.3222440092251633,2.587157301658337,4.526385742361912,10.304908758159693,0
4,3,4,9,0,12,1890,3.97894691131684,2.7248419394573156,9.647882128406547,8.320582807378265,1
2,1,7,11,0,12,2991,2.6496122418714645,3.277191736539181,5.905675483804929,2.0431098255052316,0
2,3,6,3,0,6,2982,1.7830224256224985,1.0083060704003248,7.109398005367604,3.2604902262491153,0
1,3,4,5,0,7,1959,3.0527003291281436,2.042835096531409,7.549611576237343,2.552723593563277,0
2,4,11,11,1,9,2468,1.5220182385497592,3.0731188827548443,11.130511484851645,7.243029451898467,0
5,3,4,1,1,0,3940,2.762156639491979,3.888864394694585,7.290642322649894,6.043439255683216,0
2,3,6,6,1,6,2461,2.269221909681946,1.6966267695815853,5.161800159321992,10.404959965901083,0
4,1,9,2,1,12,1731,4.647838336798532,3.187524695149732,8.194519506720969,11.432074397988908,0
4,4,4,2,1,4,1605,1.2437148868828798,3.857838735543127,11.703663957189036,4.858318675417732,0
4,5,10,10,0,9,3504,3.776069656422968,2.7785106316556187,8.861485128406489,6.076206639369748,0
4,1,7,1,0,0,1614,1.7310046639497436,1.1083245346802042,11.86709776368458,11.65819628164967,0
5,1,8,10,0,2,3745,2.2761802973289593,2.797072633862547,10.72885847151096,3.3148672994777226,0
3,5,4,7,0,6,3004,2.662056252248264,2.1857795509766125,4.287726049707302,9.508689304305763,1
1,3,7,5,1,9,2719,4.632060357499897,4.718598430805313,9.267196763016335,2.702878828022955,0
4,2,5,0,1,0,1673,1.9703130642953006,1.4984535427133094,6.294135020463069,8.177521385103264,0
2,4,7,11,1,6,2270,1.3652352101786809,3.6099038220289286,8.47693484515779,3.04338753166277,1
4,2,8,0,0,4,3590,2.2747584159620944,1.2108790653380046,6.2347615274498125,10.604800665976642,0
2,5,7,6,1,0,2587,1.4187038821421334,2.784681751250786,6.790963332842323,6.737735324840122,0
2,1,6,7,0,0,3904,1.51438594384221,3.2159179488803225,11.385349694033435,2.231203690492615,0
4,1,11,4,1,13,2611,3.2954023919001068,2.191819725267462,5.653145479133642,2.6924301083818323,0
5,4,8,11,1,0,1896,1.2436077323979733,2.8203025420815377,10.992872944206644,5.926190348497203,1
2,1,11,10,0,10,2462,1.1237235255742641,1.6542151781207495,4.2436624645639744,11.539224306898547,0
2,1,9,4,0,8,1277,3.857656405881991,2.2164953978721447,4.727012306957187,9.235705966603854,0
4,4,11,3,1,10,1551,2.446588379364178,3.484425299640812,10.837400331074107,5.859715713910141,0
2,4,5,5,1,12,2636,1.5015013969354931,2.2072002234446204,9.044448247273563,4.0526297347466045,0
2,5,6,5,0,2,3158,2.014451083438833,4.598972313635487,9.977889104316402,6.591221920181312,1
4,1,9,2,1,14,3432,3.568346029409596,3.513627830563959,5.675341366574834,8.980330001143436,0
4,1,7,8,1,12,1760,2.1021462685634047,2.754596073743938,8.296667644720827,9.407143061433601,0
1,5,8,11,0,4,3741,2.9780845004816316,1.1550277422167299,9.897753788570437,3.895305577163336,1
5,3,5,10,1,10,2449,1.4867812269066891,2.998193340818685,9.0185130960821,8.653911218566527,1
5,3,6,6,0,9,1404,3.352374550421788,4.059104968500357,7.773590135129676,7.8934653604342335,0
2,3,9,0,1,11,2358,2.2643107353730563,2.0622303920496545,11.678270291501718,11.509347503955526,0
5,5,9,6,0,8,2232,3.507873738114866,4.22709427859507,9.409258667627562,11.173083486096179,0
2,1,5,4,1,5,1021,4.233579529216092,2.007227064203526,11.262006401929902,9.472551907242924,0
1,5,10,4,0,11,1677,3.4465856775599697,4.294985551803202,9.83816409258945,8.68073626625914,0
4,5,7,1,1,8,3658,2.1829902503800827,1.3410733664467096,9.883708228781465,3.28849907645131,0
4,3,5,3,0,7,3028,2.0229748061932016,4.4647348354761185,4.640146158061435,10.151583073182401,0
4,2,9,11,1,7,2231,2.309683834933792,2.996745803733322,6.8757169748315485,5.1300684445603935,0
5,1,4,5,1,0,3055,1.6584820529460194,2.186150358481048,10.866955253757268,3.266886510072536,0
1,3,6,9,1,12,3749,1.7246874034000803,2.060453001660595,5.860830897190048,4.60992909544155,1
5,2,5,10,1,8,2808,4.162764407600672,2.7280422357214507,4.9240469292517295,10.031225880198095,1
