mood,stress,sleep,work_hours,had_meeting_today,meeting_count_last_7d,screen_time_last_7d,mean_mood_last_7d,mean_stress_last_7d,mean_sleep_last_7d,mean_work_hours_last_7d,burnout_level
7,1,10,7,0,1,3012,6.504817774509932,8.413717491557204,7.567934604163131,8.68073626625914,0
4,8,6,8,0,3,949,3.661728063355186,1.7674150745050965,7.619171757379148,3.28849907645131,1
8,4,7,5,1,1,3939,3.3016933139347033,8.795653379821266,1.720164427819114,10.151583073182401,0
5,4,9,11,0,0,3101,3.9467886286010323,5.492678058399974,4.235181596685492,5.1300684445603935,0
7,5,1,4,1,6,44,2.481584619128544,3.6688383065823578,8.725324660476925,3.266886510072536,1
10,8,7,5,1,10,1810,2.630546657650181,3.3860192537363387,3.0934347593388036,4.60992909544155,1
3,5,8,10,1,10,470,8.11621991710151,4.888095030373264,2.039552795408196,10.031225880198095,1
7,8,3,1,1,14,2081,4.462593188567005,9.991445482932805,3.934954509749141,1.78359858693462,1
8,10,4,3,1,11,2700,4.923956625135272,2.982946540938243,2.9839409640335255,5.47390489343787,1
5,1,10,2,1,7,3498,6.3464451901013,1.9289498399109966,9.327593753138396,5.908291134353876,0
4,10,6,12,0,5,829,6.306881456363929,6.265316518467957,8.81169977801918,0.4395563711858328,2
8,9,10,6,0,3,1909,1.6063918436973315,5.396882197962314,5.497149072546137,2.348952354577984,1
8,6,7,8,0,13,2268,8.48386707703899,5.7177664395697665,1.552094870354812,9.920909142910277,1
3,3,4,4,1,5,1891,2.595938979015455,7.0024187580149535,7.431061114838407,9.969208663137128,0
6,8,8,5,0,2,2581,7.50764472444702,3.404296628835844,6.610705582026381,3.5089810066109757,1
5,9,5,9,1,11,691,7.954038893153499,9.195984958454996,9.734992036556463,10.498766815175115,1
2,6,1,11,1,7,1390,7.434095806821823,4.921048595100613,6.030579162433392,9.261395268820173,1
8,7,4,11,1,9,931,6.210798818987307,2.161775756282156,4.0275435106261845,5.014889805544913,1
6,1,3,1,0,13,840,1.1314809739799458,7.680688810605499,5.671195242207002,8.980876132860454,0
2,5,9,2,1,12,3814,4.2433794312685365,6.787939173560653,9.813369622640646,11.536015574337675,0
5,5,8,2,1,12,3058,6.4435548642632305,3.841690622356334,7.267261892797275,5.507636616784186,0
